Date,Oil (BBL),Casinghead (MCF),GW Gas (MCF),Condensate (BBL)
Jan-93,"50,411,018","109,239,999","368,487,532","2,868,768"
Feb-93,"45,634,703","100,315,311","333,803,989","2,635,625"
Mar-93,"50,288,158","112,470,507","370,855,741","2,912,724"
Apr-93,"48,194,498","108,833,718","357,648,783","2,829,663"
May-93,"49,330,060","111,948,168","364,968,117","2,961,272"
Jun-93,"47,325,877","108,375,581","355,754,681","2,806,968"
Jul-93,"48,402,740","112,725,156","368,052,786","2,820,234"
Aug-93,"48,495,937","113,445,084","361,159,587","2,873,056"
Sep-93,"46,676,969","108,095,826","354,101,584","2,880,129"
Oct-93,"48,174,224","111,399,786","369,469,366","3,154,330"
Nov-93,"46,684,046","105,183,015","359,437,028","3,010,378"
Dec-93,"47,997,994","108,261,334","372,968,338","3,127,569"
Jan-94,"47,559,011","103,588,376","371,962,818","3,258,248"
Feb-94,"42,761,582","93,939,012","338,543,306","2,942,902"
Mar-94,"47,216,563","105,889,091","378,809,486","3,289,017"
Apr-94,"45,253,855","102,156,316","367,340,069","3,256,347"
May-94,"46,481,552","103,217,599","380,073,802","3,331,038"
Jun-94,"44,469,983","101,972,978","369,520,580","3,163,655"
Jul-94,"45,651,154","104,879,003","385,924,054","3,190,101"
Aug-94,"45,406,477","103,729,483","387,525,827","3,225,712"
Sep-94,"43,863,917","100,336,075","369,093,374","3,120,407"
Oct-94,"45,177,553","102,143,389","374,992,435","3,168,536"
Nov-94,"43,930,169","97,902,603","376,189,066","3,208,256"
Dec-94,"45,225,539","99,210,659","393,972,405","3,378,824"
Jan-95,"44,769,328","97,928,231","386,791,837","3,369,909"
Feb-95,"40,529,906","89,362,774","351,654,873","3,063,554"
Mar-95,"44,492,894","98,667,312","385,479,375","3,299,454"
Apr-95,"42,888,146","95,469,283","376,911,572","3,140,894"
May-95,"43,732,039","97,857,993","391,968,943","3,226,057"
Jun-95,"41,962,425","93,155,478","375,123,309","3,023,691"
Jul-95,"43,015,013","95,960,497","383,707,458","3,084,616"
Aug-95,"42,904,923","94,450,377","384,854,362","3,070,846"
Sep-95,"41,555,513","91,983,115","376,858,968","2,964,987"
Oct-95,"43,386,165","94,766,137","387,334,349","3,109,784"
Nov-95,"42,147,384","91,875,032","380,013,861","3,089,370"
Dec-95,"43,143,344","92,988,487","390,592,240","3,230,977"
Jan-96,"42,868,893","91,477,078","394,586,923","3,322,365"
Feb-96,"40,094,503","85,629,292","373,485,555","3,142,712"
Mar-96,"43,274,620","92,492,894","402,128,279","3,389,798"
Apr-96,"41,544,041","91,312,459","388,388,556","3,253,956"
May-96,"42,552,952","94,784,378","402,603,325","3,367,942"
Jun-96,"40,740,756","91,505,624","387,452,886","3,198,303"
Jul-96,"41,788,089","94,890,752","403,933,693","3,261,814"
Aug-96,"41,607,660","94,095,813","402,174,563","3,190,242"
Sep-96,"40,516,256","90,264,930","391,628,082","3,129,713"
Oct-96,"42,195,587","94,151,618","408,811,294","3,330,939"
Nov-96,"40,677,992","88,830,931","400,488,794","3,237,062"
Dec-96,"41,896,304","89,454,703","421,336,147","3,452,088"
Jan-97,"41,238,889","86,007,228","414,904,430","3,438,080"
Feb-97,"38,133,648","78,921,153","377,639,429","3,133,516"
Mar-97,"42,138,670","88,751,753","416,553,018","3,432,479"
Apr-97,"40,565,741","86,314,477","398,243,786","3,313,663"
May-97,"41,879,772","89,911,283","406,970,358","3,285,138"
Jun-97,"40,340,084","86,573,711","388,371,504","3,185,719"
Jul-97,"41,710,161","90,008,174","401,940,938","3,221,282"
Aug-97,"41,404,351","89,029,538","401,523,942","3,207,489"
Sep-97,"40,352,732","85,994,422","390,921,417","3,121,747"
Oct-97,"41,752,713","88,210,759","408,400,459","3,333,043"
Nov-97,"40,489,546","82,286,136","401,567,635","3,348,810"
Dec-97,"41,359,366","83,559,495","413,258,298","3,481,068"
Jan-98,"41,483,961","84,510,900","411,665,648","3,467,177"
Feb-98,"37,502,921","76,539,453","375,802,522","3,123,716"
Mar-98,"41,048,253","84,265,463","413,793,664","3,503,812"
Apr-98,"39,251,996","81,517,153","402,642,150","3,300,948"
May-98,"39,985,980","84,839,908","412,909,982","3,302,614"
Jun-98,"37,972,873","82,902,699","398,162,337","3,099,315"
Jul-98,"38,333,634","84,576,017","412,168,204","3,293,461"
Aug-98,"38,300,506","83,236,380","416,868,272","3,578,980"
Sep-98,"36,651,348","79,732,804","399,259,633","3,264,452"
Oct-98,"37,439,119","80,556,804","411,899,509","3,426,569"
Nov-98,"35,874,433","76,281,288","399,705,596","3,296,251"
Dec-98,"35,644,782","74,109,257","401,218,722","3,232,105"
Jan-99,"35,509,563","75,676,713","405,329,611","3,349,981"
Feb-99,"32,040,797","69,080,503","366,498,190","2,936,855"
Mar-99,"35,072,939","74,851,607","401,212,419","3,206,578"
Apr-99,"33,793,755","73,716,514","385,484,388","3,064,403"
May-99,"34,589,931","75,784,460","396,245,508","2,996,709"
Jun-99,"33,225,517","74,185,599","383,511,021","2,896,638"
Jul-99,"34,275,791","76,861,900","396,332,142","2,927,626"
Aug-99,"34,066,033","76,095,559","393,227,941","2,839,020"
Sep-99,"33,269,939","73,215,383","386,018,244","2,844,971"
Oct-99,"34,747,211","74,726,975","403,147,423","2,985,395"
Nov-99,"33,728,956","71,950,257","395,088,399","3,106,533"
Dec-99,"34,750,397","72,596,984","405,998,079","3,312,565"
Jan-00,"34,757,206","73,150,026","406,583,093","3,308,966"
